"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,188,"RUS","Russia",1,"Adygey","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+0434><U+044B><U+0433><U+0435><U+044F>","Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya"
2,188,"RUS","Russia",2,"Altay","Kray","Territory","<U+0410><U+043B><U+0442><U+0430><U+0439><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Altayskiy Kray"
3,188,"RUS","Russia",3,"Amur","Oblast","Region","<U+0410><U+043C><U+0443><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Amurskaya Oblast"
4,188,"RUS","Russia",4,"Arkhangel'sk","Oblast","Region","<U+0410><U+0440><U+0445><U+0430><U+043D><U+0433><U+0435><U+043B><U+044C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast"
5,188,"RUS","Russia",5,"Astrakhan'","Oblast","Region","<U+0410><U+0441><U+0442><U+0440><U+0430><U+0445><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Astrachan|Astrakhanskaya Oblast"
6,188,"RUS","Russia",6,"Bashkortostan","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0430><U+0448><U+043A><U+043E><U+0440><U+0442><U+043E><U+0441><U+0442><U+0430><U+043D>","Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan"
7,188,"RUS","Russia",7,"Belgorod","Oblast","Region","<U+0411><U+0435><U+043B><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Belgorodskaya Oblast"
8,188,"RUS","Russia",8,"Bryansk","Oblast","Region","<U+0411><U+0440><U+044F><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Bryanskaya Oblast"
9,188,"RUS","Russia",9,"Buryat","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0443><U+0440><U+044F><U+0442><U+0438><U+044F>","Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika"
10,188,"RUS","Russia",10,"Chechnya","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0427><U+0435><U+0447><U+0435><U+043D><U+043E>-<U+0418><U+043D><U+0433><U+0443><U+0448><U+0441><U+043A><U+0430><U+044F>","Cecenia|Chechenia|Chechênia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia"
11,188,"RUS","Russia",11,"Chelyabinsk","Oblast","Region","<U+0427><U+0435><U+043B><U+044F><U+0431><U+0438><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Chelyabinskaya Oblast"
12,188,"RUS","Russia",12,"Chukot","Avtonomnyy Okrug","Autonomous Province","<U+0427><U+0443><U+043A><U+043E><U+0442><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Chukotka|Chukotskiy Aok"
13,188,"RUS","Russia",13,"Chuvash","Respublika","Republic","<U+0427><U+0443><U+0432><U+0430><U+0448><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic"
14,188,"RUS","Russia",14,"City of St. Petersburg","Gorsovet","City","<U+0421><U+0430><U+043D><U+043A><U+0442>-<U+041F><U+0435><U+0442><U+0435><U+0440><U+0431><U+0443><U+0440><U+0433> (<U+0433><U+043E><U+0440><U+0441><U+043E><U+0432><U+0435><U+0442>)","Sankt-Peterburg gorsovet"
15,188,"RUS","Russia",15,"Dagestan","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0414><U+0430><U+0433><U+0435><U+0441><U+0442><U+0430><U+043D>","Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan"
16,188,"RUS","Russia",16,"Gorno-Altay","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+043B><U+0442><U+0430><U+0439>","Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai"
17,188,"RUS","Russia",17,"Ingush","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443>´<U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+043D><U+0433><U+0443><U+0448><U+0435>´<U+0442><U+0438><U+044F>","Ingouchie|Inguchétia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya"
